Restaurant,Address,Latitude,Longitude
"Culver’s of Albertville, AL","Mathis Mill Rd, Alabama, USA",34.29373518167634,-86.20935808488876
Culver’s of Auburn AL,"E University Dr, Alabama, USA",32.361518402325736,-86.29209162343166
"Culver’s of Birmingham, AL","Tattersall Blvd, Alabama, USA",33.42301362673137,-86.66754652004198
"Culver’s of Decatur, AL","6th Ave, Alabama, USA",33.50678489288524,-86.9196074921057
"Culver’s of Florence, AL","Cloverdale Rd, Alabama, USA",32.34686195985761,-86.29265795508077
"Culver’s of Foley, AL","S McKenzie St, Alabama, USA",32.52975089220906,-85.89646458244039
"Culver’s of Hampton Cove, AL","US Hwy 431, Alabama, USA",34.64977930078545,-86.44676577069129
"Culver’s of Hazel Green, AL","US 231 S, Alabama, USA",34.575647,-86.56786930000001
"Culver’s of Hoover, AL","John Hawkins Pkwy, Alabama, USA",33.36036275183051,-86.83126889294422
"Culver’s of Huntsville, AL","Winchester Rd, Alabama, USA",32.34444700338327,-86.25262271453282
"Culver’s of Madison, AL","Wall Triana Hwy, Alabama, USA",34.65589707251008,-86.75524083838535
"Culver’s of Madison, AL","Hwy 72 W, Alabama, USA",34.78996578124857,-86.97366928115464
"Culver’s of Mobile, AL","Airport Blvd, Alabama, USA",30.67596601324542,-88.16002202654943
"Culver’s of Orange Beach, AL","Canal Rd, Alabama, USA",30.577805281015944,-88.0844948489952
"Culver’s of Oxford, AL","Recreation Dr, Alabama, USA",33.45132417681095,-86.13598526310031
"Culver’s of Phenix City, AL","Hwy 280, Alabama, USA",33.48009,-86.7752
"Culver’s of Avondale, AZ","N Avondale Blvd, Arizona, USA",33.44857522213635,-112.3066121733642
"Culver’s of Buckeye, AZ","N Verrado Way, Arizona, USA",33.48186870085376,-112.50968252376167
"Culver’s of Bullhead City, AZ","Hwy 95, Arizona, USA",32.5918269076451,-114.67714794032354
"Culver’s of Casa Grande, AZ","E Florence Blvd, Arizona, USA",32.8795143744412,-111.72225556713272
"Culver’s of Chandler, AZ","W Ray Rd, Arizona, USA",33.320102391702896,-111.9107869417538
"Culver’s of Chandler, AZ","S Arizona Ave, Arizona, USA",32.212065263749665,-110.96778659623985
"Culver’s of Flagstaff, AZ","Route 66, Arizona, USA",35.21091518998881,-111.52331529163949
"Culver’s of Gilbert, AZ","Val Vista Dr, Arizona, USA",33.756115427535434,-111.98479985117659
"Culver’s of Glendale, AZ","N 99th Ave, Arizona, USA",33.497323979509176,-112.27248808293139
"Culver’s of Goodyear, AZ","Estrella Pkwy, Arizona, USA",33.0643006960729,-112.05855149962949
"Culver’s of Sahuarita, AZ","S Nogales Hwy, Arizona, USA",32.097343068156405,-110.9596756674775
"Culver’s of Kingman, AZ","Airway Ave, Arizona, USA",35.22492407748343,-113.96539267923015
"Culver’s of Lake Havasu City, AZ","Countryshire Ave, Arizona, USA",34.489778185246635,-114.35101180924087
"Culver’s of Maricopa, AZ","N John Wayne Pkwy, Arizona, USA",33.06339280844893,-112.0479176840345
"Culver’s of Mesa, AZ","S Country Club Dr, Arizona, USA",33.38605215,-111.84000660000001
"Culver’s of Mesa, AZ","S Greenfield Rd, Arizona, USA",33.39538433434808,-111.73652189762745
"Culver’s of Mesa, AZ","S Crismon Rd, Arizona, USA",33.28482875978783,-111.6177136590703
"Culver’s of Payson, AZ","E Hwy 260, Arizona, USA",34.42743900466504,-110.58531986458364
"Culver’s of Peoria, AZ","W Ludlow Dr, Arizona, USA",33.61172994146059,-112.24728545592562
"Culver’s of Peoria, AZ","W Deer Valley Rd, Arizona, USA",33.68313426564274,-112.14208712023775
"Culver’s of Phoenix, AZ","W Deer Valley Dr, Arizona, USA",33.68567579482744,-112.39372355041607
"Culver’s of Phoenix, AZ","E Camelback Rd, Arizona, USA",33.51000245,-112.0156665
"Culver’s of Phoenix, AZ","N Cave Creek Rd, Arizona, USA",33.56858083637886,-112.06427295801919
"Culver’s of Prescott, AZ","Willow Creek Road, Arizona, USA",34.586658987820456,-112.47727977370849
"Culver’s of Prescott Valley, AZ","N Stoneridge Dr, Arizona, USA",34.569303861546366,-112.34817750796917
"Culver’s of Queen Creek, AZ","W Ocotillo Rd, Arizona, USA",33.534836334665705,-112.1450382702268
"Culver’s of Scottsdale, AZ","E Shea Blvd, Arizona, USA",33.58277143225215,-111.98037017530591
"Culver’s of Show Low, AZ","White Mountain Rd, Arizona, USA",34.17727954977076,-109.97505648961184
"Culver’s of Sierra Vista, AZ","S Hwy 92, Arizona, USA",31.5493448,-110.2580432
"Culver’s of Surprise, AZ","W Bell Rd, Arizona, USA",33.63922608073045,-112.1523635004299
"Culver’s of Tempe, AZ","E Southern Ave, Arizona, USA",33.39263797011278,-111.99502824962501
"Culver’s of Tucson, AZ","N Thornydale Rd, Arizona, USA",32.44740356016528,-111.046836368527
"Culver’s of Tucson, AZ","S Broadway Pl, Arizona, USA",32.21860774137736,-110.83106766767679
"Culver’s of Tucson, AZ","N 1st Ave, Arizona, USA",33.657299423201515,-112.07462002319092
"Culver’s of Tucson, AZ","S Kino Pkwy, Arizona, USA",32.19674541864802,-110.94911558688152
"Culver’s of Tucson, AZ","W Valencia Rd, Arizona, USA",32.13367576059008,-110.99590787983962
"Culver’s of Bentonville, AR","Walton Blvd, Arkansas, USA",36.3349295,-94.18310445
"Culver’s of Rogers, AR","New Hope Rd, Arkansas, USA",34.54795672001382,-92.56066637717177
"Culver’s of Aurora, CO","Buckley Rd, Colorado, USA",39.798570152005624,-104.79091660939746
"Culver’s of Castle Rock, CO","Meadows Pkwy, Colorado, USA",39.40219787031152,-104.88448368112161
"Culver’s of Centennial, CO","E Arapahoe Rd, Colorado, USA",39.59313791724762,-104.72247583606982
"Culver’s of Colorado Springs, CO","New Center Pt, Colorado, USA",38.88301682640631,-104.71720343599249
"Culver’s of Colorado Springs, CO","Lake Plaza Dr, Colorado, USA",38.79347614182403,-104.80622778765253
"Culver’s of Colorado Springs, CO","N Academy Blvd, Colorado, USA",38.88154323590582,-104.75710630476418
"Culver’s of Denver, CO","N Tower Rd, Colorado, USA",39.800552897453606,-104.77205184590288
"Culver’s of Falcon, CO","N Meridian Rd, Colorado, USA",38.933687235086474,-104.6128135105195
"Culver’s of Fort Collins, CO","S Lemay Ave, Colorado, USA",40.514093476762405,-105.0581035597975
"Culver’s of Fountain, CO","Fountain Mesa Rd, Colorado, USA",38.72359588037209,-104.69937815741181
"Culver’s of Glenwood Springs, CO","Hwy 6, Colorado, USA",39.6508277,-106.954169
"Culver’s of Grand Junction, CO","24 1/2 Road, Colorado, USA",39.106100098576576,-108.59882915399834
"Culver’s of Greeley, CO","W 29th St, Colorado, USA",38.29813105,-104.6120743
"Culver’s of Johnstown, CO","I-25 and Hwy 34, Colorado, USA",40.4065744,-104.9807744
"Culver’s of Lakewood, CO","S Wadsworth Blvd, Colorado, USA",39.63578189372838,-105.08224903497204
"Culver’s of Littleton, CO","S Broadway, Colorado, USA",39.70048447431717,-104.98740397403377
"Culver’s of Longmont, CO","S Hover Rd, Colorado, USA",40.13631394565511,-105.13090162149616
"Culver’s of Loveland, CO","Eisenhower Blvd, Colorado, USA",40.407196,-105.03720595
"Culver’s of Montrose, CO","Wolverine Dr, Colorado, USA",38.44295901879306,-107.86731043164363
"Culver’s of Parker, CO","E Mainstreet, Colorado, USA",39.517026190449506,-104.81243985963776
"Culver’s of Pueblo, CO","Pueblo Blvd, Colorado, USA",38.21559562903261,-104.61926630708162
"Culver’s of Rifle, CO","Airport Rd, Colorado, USA",38.82533406717413,-104.74262846231193
"Culver’s of Thornton, CO","Washington St, Colorado, USA",39.78978465065865,-104.97827688837205
"Culver’s of Westminster, CO","W 72nd Ave, Colorado, USA",39.82711735,-105.12488175
"Culver’s of Apopka, FL","Semoran Blvd, Florida, USA",28.551436403003496,-81.31063493101027
"Culver’s of Arcadia, FL","SE HWY 70, Florida, USA",27.2082759,-81.8344691
"Culver’s of Avon Park, FL","US Hwy 27, Florida, USA",28.748190151116464,-81.87706823225368
"Culver’s of Bonita Springs, FL","Bonita Beach Rd SE, Florida, USA",26.33151625293315,-81.74780055543448
"Culver’s of Bradenton, FL","Ranch Lake Blvd, Florida, USA",27.42553069251727,-82.45765413845336
"Culver’s of Bradenton, FL","Cortez Rd W, Florida, USA",27.462574127552802,-82.61121968703739
"Culver’s of Bradenton, FL","East State Rd 64, Florida, USA",27.4975467,-82.5036948
"Culver’s of Bradenton, FL","SR 64 East, Florida, USA",27.9178818,-82.734197
"Culver’s of Brandon, FL","E Brandon Blvd, Florida, USA",27.937806420430498,-82.27789999244816
"Culver’s of Brooksville, FL","Cortez Blvd, Florida, USA",29.808584639318518,-81.29561436068148
"Culver’s of Brooksville, FL","S Broad St, Florida, USA",28.0069825,-82.1345015
"Culver’s of Cape Coral, FL","Cape Coral Pkwy E, Florida, USA",26.562854738894224,-81.96590424547945
"Culver’s of Cape Coral, FL","SW Pine Island Rd, Florida, USA",26.64232400882902,-81.99674213423718
"Culver’s of Cape Coral, FL","Skyline Blvd, Florida, USA",26.625965523629656,-81.9913803509431
"Culver’s of Cape Coral, FL","NE Pine Island Rd, Florida, USA",26.65792193431051,-81.96174392010886
"Culver’s of Casselberry, FL","US Hwy 17-92, Florida, USA",28.6755268,-81.3374528
"Culver’s of Clearwater, FL","Gulf to Bay Blvd, Florida, USA",27.960686918784166,-82.76461135554185
"Culver’s of Clermont, FL","Johns Lake Rd, Florida, USA",28.525988654210877,-81.72274659284918
"Culver’s of Cooper City, FL","N University Dr, Florida, USA",25.91168057310523,-80.14078027854599
"Culver’s of Davenport, FL","Posner Blvd, Florida, USA",28.232427108925716,-81.64150005700752
"Culver’s of Daytona Beach, FL","Outlet Blvd, Florida, USA",29.220164859810392,-81.09609467998555
"Culver’s of Deland, FL","N Woodland Blvd, Florida, USA",29.0605423,-81.30439215
"Culver’s of Destin, FL","Hwy 98 W, Florida, USA",30.18075138659007,-85.71657960391629
"Culver’s of Estero, FL","Corkscrew Rd, Florida, USA",26.431419849926804,-81.7948365295216
"Culver’s of Estero, FL","S Tamiami Trail, Florida, USA",27.328165086802237,-82.53052939225456
"Culver’s of Fort Myers, FL","University Plaza Dr, Florida, USA",30.50117271049284,-87.22731666874532
"Culver’s of Fort Myers, FL","S Cleveland Ave, Florida, USA",26.596720150000003,-81.8716869
"Culver’s of Fort Myers, FL","Six Mile Cypress Pkwy, Florida, USA",26.608010303274927,-81.81110750179792
"Culver’s of Fort Walton Beach, FL","Green Acres Rd, Florida, USA",29.89300381117977,-81.40181378351211
"Culver’s of Gainesville, FL","SW 30th Pl, Florida, USA",25.760832863276097,-80.24414359439848
"Culver’s of Haines City, FL","N US Hwy 27, Florida, USA",28.748190151116464,-81.87706823225368
"Culver’s of Highland City, FL","Clubhouse Rd, Florida, USA",26.016248430221665,-80.29502696989901
"Culver’s of Inverness, FL","W Main Street, Florida, USA",27.957251514154716,-82.49936617160158
"Culver’s of Jacksonville, FL","Collins Rd, Florida, USA",30.20431305,-81.7572602
"Culver’s of Jacksonville, FL","Gate Pkwy, Florida, USA",30.24430534673965,-81.53445149315233
"Culver’s of Jacksonville, FL","Monument Rd, Florida, USA",30.343214865200697,-81.53580785625002
"Culver’s of Jacksonville, FL","Hodges Blvd, Florida, USA",30.313466855420728,-81.45793787931088
"Culver’s of Jensen Beach, FL","NW Federal Hwy, Florida, USA",27.22852406204647,-80.26580606828651
"Culver’s of Jupiter, FL","Military Trl, Florida, USA",26.437138349775278,-80.12208756274607
"Culver’s of Kissimmee, FL","W Irlo Bronson Memorial Hwy, Florida, USA",28.304344087449007,-81.45186873098685
"Culver’s of Kissimmee, FL","N Orange Blossom Trl, Florida, USA",28.554725751271363,-81.39561542363475
"Culver’s of LaBelle, FL","Lashley St, Florida, USA",26.7607415016544,-81.4480091621825
"Culver’s of Lake City, FL","NW Commons Loop, Florida, USA",30.179860632531533,-82.6639298680153
"Culver’s of Lake Park, FL","Congress Ave, Florida, USA",26.7501595,-80.0890725
"Culver’s of Lakeland, FL","US Hwy 98 N, Florida, USA",28.09444170402535,-81.97391166872968
"Culver’s of Lakeland, FL","Florida Ave, Florida, USA",25.821665549992087,-80.30459550022235
"Culver’s of Land O’ Lakes, FL","Land O’ Lakes Blvd, Florida, USA",28.194779330383444,-82.46520338235456
"Culver’s of Largo, FL","E Bay Dr, Florida, USA",26.11998243771757,-80.41854947800715
"Culver’s of Lecanto, FL","North Lecanto Highway, Florida, USA",28.875340085328094,-82.48984854897537
"Culver’s of Lehigh Acres, FL","Lee Blvd, Florida, USA",27.550397851173507,-80.4105399
"Culver’s of Loxahatchee Groves, FL","Southern Blvd, Florida, USA",26.676023568116708,-80.06422477456292
"Culver’s of Wesley Chapel, FL","Sun Vista Dr, Florida, USA",28.1899080618072,-82.39505026949944
"Culver’s of Lutz, FL","Walmart Way, Florida, USA",26.69466598563428,-80.10899104939014
"Culver’s of Margate, FL","Copans Rd, Florida, USA",26.260653313736146,-80.12903142572077
"Culver’s of Middleburg, FL","Blanding Blvd, Florida, USA",30.23051319213695,-81.7386195850448
"Culver’s of Milton, FL","US Hwy 90, Florida, USA",30.238551049117127,-82.30464011492171
"Culver’s of Mt. Dora, FL","US Hwy 441, Florida, USA",28.821863639415334,-81.78284038845933
"Culver’s of Naples, FL","Airport Pulling Rd N, Florida, USA",26.14890450976295,-81.76663747531089
"Culver’s of Naples, FL","Tamiami Trl E, Florida, USA",26.13778039424659,-81.78234688053293
"Culver’s of Naples, FL","Immokalee Rd, Florida, USA",26.41485549855759,-81.41740737755026
"Culver’s of Navarre, FL","Navarre Pkwy, Florida, USA",30.402897058130208,-86.85538478116983
"Culver’s of New Smyrna Beach, FL","State Road 44, Florida, USA",29.01293470045378,-80.98508772047792
"Culver’s of North Port, FL","Tuscola Blvd, Florida, USA",27.039817853953053,-82.22708584131604
"Culver’s of Ocala, FL","SW College Road, Florida, USA",29.167936737799828,-82.1666266275776
"Culver’s of Trinity, FL","State Rd 54, Florida, USA",28.193396064345162,-82.4748316473703
"Culver’s of Orlando, FL","Millenia Blvd, Florida, USA",28.479028813337717,-81.4423323385825
"Culver’s of Lake Nona, FL","Narcoossee Rd, Florida, USA",28.4431951,-81.26099865
"Culver’s of Orlando, FL","E Colonial Dr, Florida, USA",28.553149244023917,-81.35643790037953
"Culver’s of Ormond Beach, FL","W Granada Blvd, Florida, USA",29.28116447062654,-81.0675644202266
"Culver’s of Oviedo, FL","W Mitchell Hammock Rd, Florida, USA",28.655633550901847,-81.21299325738207
"Culver’s of Palm Coast, FL","E Hwy 100, Florida, USA",29.474978,-81.2202613
"Culver’s of Palmetto, FL","US Hwy 301, Florida, USA",27.521509842953883,-82.53959009636836
"Culver’s of Panama City, FL","S Tyndall Pkwy, Florida, USA",30.12740651527639,-85.59123886484196
"Culver’s of Panama City Beach, FL","Panama City Beach Pkwy, Florida, USA",30.19968878266737,-85.81795256115598
"Culver’s of Pensacola, FL","Bayou Blvd, Florida, USA",30.438844079664637,-87.18218432711545
"Culver’s of Pensacola, FL","Mobile Hwy, Florida, USA",30.474933253621515,-87.30794097242085
"Culver’s of Pinellas Park, FL","Park Blvd N, Florida, USA",27.839273002864715,-82.7557793425827
"Culver’s of Plant City, FL","N Park Rd, Florida, USA",26.034901468981186,-80.17543397771925
"Culver’s of Port Charlotte, FL","Kings Hwy, Florida, USA",27.9827211129493,-82.77949293845145
"Culver’s of Port Charlotte, FL","El Jobean Rd, Florida, USA",26.999864542208574,-82.18401553196747
"Culver’s of Port Orange, FL","Dunlawton Ave, Florida, USA",29.13905583938078,-80.99669610884928
"Culver’s of Port Richey, FL","US Hwy 19, Florida, USA",28.14356975,-82.7404108
"Culver’s of Port St. Lucie, FL","SW Tradition Pkwy, Florida, USA",27.263916,-80.4342952
"Culver’s of Punta Gorda, FL","Jones Loop Rd, Florida, USA",26.884392696797093,-81.99887316435526
"Culver’s of Riverview, FL","Big Bend Rd, Florida, USA",27.80130384177038,-82.29157515389815
"Culver’s of Riverview, FL","Boyette Rd, Florida, USA",27.853741515166064,-82.30736668855371
"Culver’s of Sanford, FL","Orlando Dr, Florida, USA",28.774083639512167,-81.27799334785284
"Culver’s of Sarasota, FL","University Pkwy, Florida, USA",27.381987838990216,-82.55417519234426
"Culver’s of Sarasota, FL","S Tamiami Trl, Florida, USA",27.323208103418942,-82.52975168611117
"Culver’s of Sarasota, FL","Cattlemen Rd, Florida, USA",27.294100212621775,-82.45170571419064
"Culver’s of Sebring, FL","US Hwy 27, Florida, USA",28.748190151116464,-81.87706823225368
"Culver’s of Seminole, FL","Park Blvd, Florida, USA",25.772338650000002,-80.33974185
"Culver’s of Spring Hill, FL","County Line Rd, Florida, USA",27.381651154591147,-82.55537581550519
"Culver’s of St. Augustine, FL","US Hwy 1, Florida, USA",27.303679799999998,-80.30726745
"Culver’s of St. Augustine, FL","Stratton Blvd, Florida, USA",29.92484502373144,-81.39021265600829
"Culver’s of St. Cloud, FL","E Irlo Bronson Hwy, Florida, USA",28.246006214298035,-81.24523230010531
"Culver’s of St. Johns, FL","Fountains Way, Florida, USA",26.475006976849784,-80.09060824681758
"Culver’s of St. Petersburg, FL","4th St N, Florida, USA",27.803466238286646,-82.74707196764264
"Culver’s of St. Petersburg, FL","34th St N, Florida, USA",27.77205000572178,-82.67951322892367
"Culver’s of Stuart, FL","S Kanner Hwy, Florida, USA",27.182902393594986,-80.25316338206392
"Culver’s of Tallahassee, FL","Monroe St, Florida, USA",27.87016,-82.5203875
"Culver’s of Tallahassee, FL","Apalachee Pkwy, Florida, USA",30.427111326938636,-84.23184958115256
"Culver’s of Tamarac, FL","W Commercial Blvd, Florida, USA",26.1882048,-80.16621814999999
"Culver’s of Tampa, FL","N Nebraska Ave, Florida, USA",28.03514714980196,-82.45119339595672
"Culver’s of Tampa, FL","W Hillsborough Ave, Florida, USA",27.996067349999997,-82.46555765
"Culver’s of Brandon, FL","S Falkenburg Rd, Florida, USA",27.891430114261905,-82.35853651706613
"Culver’s of Tampa, FL","Citrus Park Dr, Florida, USA",28.06425487295275,-82.58779573419658
"Culver’s of Carrollwood, FL","Dale Mabry Hwy, Florida, USA",27.893457449920163,-82.50641829363146
"Culver’s within The Villages®, FL","E County Rd 466, Florida, USA",30.5709993,-87.31329539911059
"Culver’s of Titusville, FL","Cheney Hwy, Florida, USA",28.553297899999997,-81.32564454999999
"Culver’s of Venice, FL","Times Cir, Florida, USA",27.10386394796184,-82.3832048148772
"Culver’s of Venice, FL","Tamiami Trail, Florida, USA",25.766384339530987,-80.19462488578849
"Culver’s of Viera, FL","Lake Andrew Dr, Florida, USA",28.265067739977294,-80.73320587904304
"Culver’s of Wesley Chapel, FL","Wiregrass, Florida, USA",28.1895305,-82.3484277
"Culver’s of West Melbourne, FL","Palm Bay Rd, Florida, USA",28.035371988134816,-80.66487874927138
"Culver’s of Wildwood, FL","Sundance Trail, Florida, USA",27.73988115,-80.39006905
"Culver’s of Winter Garden, FL","W Colonial Dr, Florida, USA",28.552957826192735,-81.3952828612181
"Culver’s of Winter Haven, FL","Cypress Gardens Blvd, Florida, USA",27.988628230773223,-81.6884460745927
"Culver’s of Yulee, FL","State Road, Florida, USA",26.6422594,-80.2047546
"Culver’s of Zephyrhills, FL","Gall Blvd, Florida, USA",28.251084807477127,-82.18811506575717
"Culver’s of Acworth, GA","Hwy 92, Georgia, USA",34.08753727354016,-84.48358145233469
"Culver’s of Braselton, GA","Old Winder Hwy, Georgia, USA",34.12605260800729,-83.82976633738842
"Culver’s of Buford, GA","Buford Dr, Georgia, USA",32.59999355,-83.61526850000001
"Culver’s of Hickory Flat-Canton, GA","Hickory Flat Hwy, Georgia, USA",34.22296539700078,-84.48091179396252
"Culver’s of Columbus, GA","Midland Commons Blvd, Georgia, USA",32.54445849187124,-84.87497559932048
"Culver’s of Commerce, GA","Hwy 441, Georgia, USA",33.904894591663066,-83.40454772805766
"Culver’s of Cumming, GA","Bethelview Rd, Georgia, USA",34.18658745997704,-84.19657901652309
"Culver’s of Dawsonville, GA","S 400 Center Ln, Georgia, USA",34.36454519379671,-84.03985937854027
"Culver’s of Gainesville, GA","Dawsonville Hwy, Georgia, USA",34.30490563337856,-83.86139883618272
"Culver’s of Grovetown, GA","Gateway Blvd, Georgia, USA",33.776613173577545,-84.15068110143766
"Culver’s of Jasper, GA","Hwy 515, Georgia, USA",34.4439542044954,-84.44288691355676
"Culver’s of Kennesaw, GA","Cobb Pkwy N, Georgia, USA",33.97773815,-84.55072195000001
"Culver’s of Lawrenceville, GA","Scenic Hwy S, Georgia, USA",33.8452494414529,-84.02943304078562
"Culver’s of Macon, GA","Northside Dr, Georgia, USA",33.791577300051706,-84.40800040175878
"Culver’s of McDonough, GA","Hwy 81 W, Georgia, USA",33.4265569,-84.1845992
"Culver’s of Newnan, GA","Newnan Crossing Byp, Georgia, USA",33.37723492285638,-84.7613791300488
"Culver’s of Pooler, GA","Tanger Outlet Blvd, Georgia, USA",32.132212716035525,-81.24787493105256
"Culver’s of Rockmart, GA","Nathan Dean Pkwy, Georgia, USA",34.0112227297306,-85.04873360679333
"Culver’s of Savannah, GA","W Montgomery Crossroad, Georgia, USA",31.9897645,-81.0759695
"Culver’s of Sugar Hill, GA","Peachtree Industrial Blvd, Georgia, USA",34.01971855,-84.16075225
"Culver’s of Johns Creek, GA","Peachtree Pkwy, Georgia, USA",34.068251348334435,-84.16814734390123
"Culver’s of Valdosta, GA","N Valdosta Rd, Georgia, USA",30.880308703972222,-83.3069566079058
"Culver’s of Warner Robins, GA","Hwy 96, Georgia, USA",32.5446188053582,-83.59193501592924
"Culver’s of Woodstock, GA","Hwy 92, Georgia, USA",34.08753727354016,-84.48358145233469
"Culver’s of Ammon, ID","25th East, Idaho, USA",43.50340783374184,-111.98396059693202
"Culver’s of Idaho Falls, ID","Pancheri Dr, Idaho, USA",43.483355002193015,-112.04529047759769
"Culver’s of Meridian, ID","E Ustick Rd, Idaho, USA",43.63387138166645,-116.3423820029229
"Culver’s of Twin Falls, ID","Pole Line Rd, Idaho, USA",42.898561100352495,-112.46623824292678
"Culver’s of Addison, IL","W Lake St, Illinois, USA",41.885832498927414,-87.73317531003106
"Culver’s of Antioch, IL","E IL Rte 173, Illinois, USA",42.466280722488044,-88.0576359455907
"Culver’s of Arlington Heights, IL","Northwest Hwy, Illinois, USA",42.22613964433299,-88.29510718467105
"Culver’s of Aurora, IL","State Rd 59, Illinois, USA",40.0761458,-87.9583671
"Culver’s of Bartlett, IL","Route 59, Illinois, USA",41.7780677,-88.2084482
"Culver’s of Batavia, IL","Randall Rd, Illinois, USA",42.00358980708451,-88.3360031652823
"Culver’s of Belvidere, IL","Big Thunder Blvd, Illinois, USA",42.27340878076694,-88.85868342288724
"Culver’s of Berwyn, IL","W Roosevelt Rd, Illinois, USA",41.86644709423089,-87.70217415048344
"Culver’s of Bloomingdale, IL","Schick Rd, Illinois, USA",41.95267775,-88.13244405
"Culver’s of Bloomington, IL","Hershey Rd, Illinois, USA",40.51382587848638,-88.9421750259519
"Culver’s of Bloomington, IL","W Market St, Illinois, USA",40.057035527142475,-87.64041854979912
"Culver’s of Bolingbrook, IL","N Bolingbrook Dr, Illinois, USA",41.702331300000004,-88.0683642
"Culver’s of Bourbonnais, IL","Convent St, Illinois, USA",38.771508996507166,-88.50010799820467
"Culver’s of Bridgeview, IL","S Harlem Ave, Illinois, USA",41.79979625,-87.8021404
"Culver’s of Buffalo Grove, IL","McHenry Rd, Illinois, USA",42.15703909353424,-87.9600194575244
"Culver’s of Carbondale, IL","Reed Station Rd, Illinois, USA",37.738384494138806,-89.16133781396425
"Culver’s of Carol Stream, IL","Schmale Rd, Illinois, USA",41.89695456710843,-88.10199337259091
"Culver’s of Carpentersville, IL","Miller Rd, Illinois, USA",39.82500415190274,-89.59680564102241
"Culver’s of Champaign, IL","W Marketview Dr, Illinois, USA",40.139173502292145,-88.26094541607463
"Culver’s of Champaign, IL","S Neil St, Illinois, USA",40.114850879634766,-88.24350700652825
"Culver’s of Chicago, IL","W Irving Park Rd, Illinois, USA",41.95412225145157,-87.68577425070585
"Culver’s of Chicago, IL","S Martin Luther King Dr, Illinois, USA",40.495322900102565,-89.01985096643045
"Culver’s of Chicago, IL","Montrose Ave, Illinois, USA",41.958327071066456,-87.8745962005519
"Culver’s of Chicago, IL","Cicero Ave, Illinois, USA",41.68123918012755,-87.73914641130419
